,QuestionId,AcceptedAnswerUserId,AnswerCreationDate,UsersSorted,UsersJaccard
57,716.0,160.0,2010-07-26 09:14:15.523,"[160.0, 9176.0, 13854.0, 89.0, 536.0]","{160.0: 0.10000000000000001, 9176.0: 0.010380622837370242, 536.0: 0.021582733812949641, 13854.0: 0.0074999999999999997, 89.0: 0.037499999999999999}"
58,721.0,171.0,2010-07-26 12:15:26.850,"[171.0, 99.0, 17976.0, 448.0, 1714.0]","{99.0: 0.0625, 17976.0: 0.018181818181818181, 1714.0: 0.0111731843575419, 171.0: 0.032258064516129031, 448.0: 0.0077519379844961239}"
59,732.0,72.0,2010-07-26 20:12:04.727,"[72.0, 14808.0, 6312.0, 1277.0, 187106.0]","{72.0: 0.013793103448275862, 14808.0: 0.040816326530612242, 187106.0: 0.5, 6312.0: 0.004048582995951417, 1277.0: 0.0068027210884353739}"
60,735.0,73.0,2010-07-26 21:22:38.663,"[73.0, 72.0, 12.0, 220.0, 89.0]","{72.0: 0.013793103448275862, 73.0: 0.064516129032258063, 12.0: 1.0, 220.0: 0.40000000000000002, 89.0: 0.025000000000000001}"
61,742.0,136.0,2010-07-26 22:13:10.403,"[136.0, 297.0, 123.0, 92.0, 73648.0]","{136.0: 0.072727272727272724, 297.0: 0.16666666666666666, 123.0: 0.0625, 92.0: 0.21052631578947367, 73648.0: 0.59999999999999998}"
62,768.0,76.0,2010-07-27 09:27:33.757,"[76.0, 123.0, 29345.0, 152.0, 74165.0]","{152.0: 0.023809523809523808, 29345.0: 1.0, 123.0: 0.046875, 76.0: 0.096774193548387094, 74165.0: 0.40000000000000002}"
63,785.0,72.0,2010-07-27 18:44:11.520,"[72.0, 752.0, 536.0, 176.0, 13147.0]","{72.0: 0.020689655172413793, 752.0: 0.020833333333333332, 13147.0: 0.017964071856287425, 176.0: 0.10344827586206896, 536.0: 0.021582733812949641}"
64,797.0,232.0,2010-07-27 21:28:11.640,"[232.0, 123.0, 51.0, 9.0, 11245.0]","{232.0: 0.0061224489795918364, 51.0: 0.11538461538461539, 123.0: 0.046875, 11245.0: 0.022727272727272728, 9.0: 0.026548672566371681}"
65,640.0,232.0,2010-07-27 21:48:44.120,"[232.0, 247.0, 9464.0, 9.0, 272.0]","{232.0: 0.0020408163265306124, 9464.0: 0.012500000000000001, 9.0: 0.0088495575221238937, 272.0: 0.058823529411764705, 247.0: 0.015384615384615385}"
66,540.0,232.0,2010-07-27 22:22:26.763,"[232.0, 56.0, 870.0, 89.0, 8.0]","{232.0: 0.0081632653061224497, 56.0: 0.095238095238095233, 8.0: 0.056338028169014086, 870.0: 0.22222222222222221, 89.0: 0.050000000000000003}"
67,855.0,205.0,2010-07-28 00:08:53.867,"[205.0, 536.0, 296.0, 299.0, 242.0]","{536.0: 0.021582733812949641, 296.0: 1.0, 242.0: 0.010135135135135136, 299.0: 0.012096774193548387, 205.0: 0.023076923076923078}"
68,781.0,72.0,2010-07-28 00:15:29.330,"[72.0, 89.0, 13854.0, 60460.0, 91324.0]","{72.0: 0.020689655172413793, 89.0: 0.037499999999999999, 91324.0: 1.0, 60460.0: 1.0, 13854.0: 0.0074999999999999997}"
69,842.0,25.0,2010-07-28 00:17:34.070,"[25.0, 536.0, 297.0, 22437.0, 233.0]","{536.0: 0.028776978417266189, 25.0: 0.10256410256410256, 233.0: 0.19047619047619047, 22437.0: 0.072727272727272724, 297.0: 0.16666666666666666}"
70,886.0,136.0,2010-07-28 01:41:01.723,"[136.0, 123.0, 14866.0, 240257.0, 159723.0]","{136.0: 0.036363636363636362, 240257.0: 1.0, 14866.0: 1.0, 123.0: 0.03125, 159723.0: 1.0}"
71,894.0,236.0,2010-07-28 08:01:11.347,"[236.0, 536.0, 35135.0, 206720.0, 61568.0]","{536.0: 0.014388489208633094, 206720.0: 0.66666666666666663, 61568.0: 0.66666666666666663, 236.0: 0.40000000000000002, 35135.0: 1.0}"
72,806.0,299.0,2010-07-28 09:45:24.453,"[299.0, 619.0, 536.0, 233.0, 221.0]","{619.0: 0.0089285714285714281, 536.0: 0.0071942446043165471, 299.0: 0.0040322580645161289, 221.0: 0.0033003300330033004, 233.0: 0.047619047619047616}"
73,936.0,171.0,2010-07-28 10:47:25.527,"[171.0, 274.0, 136.0, 349.0, 360.0]","{136.0: 0.054545454545454543, 360.0: 0.073170731707317069, 274.0: 0.0084985835694051, 171.0: 0.048387096774193547, 349.0: 1.0}"
74,951.0,173.0,2010-07-28 12:37:01.900,"[173.0, 263.0, 167.0, 13181.0, 72.0]","{13181.0: 0.090909090909090912, 72.0: 0.020689655172413793, 167.0: 1.0, 173.0: 0.022727272727272728, 263.0: 0.083333333333333329}"
75,978.0,263.0,2010-07-28 16:11:23.520,"[263.0, 55.0, 274.0, 280715.0, 48639.0]","{48639.0: 0.038834951456310676, 274.0: 0.011331444759206799, 55.0: 0.44444444444444442, 280715.0: 0, 263.0: 0.1111111111111111}"
76,942.0,221.0,2010-07-28 16:30:13.550,"[221.0, 536.0, 263.0, 58800.0, 33315.0]","{536.0: 0.014388489208633094, 58800.0: 0.5, 33315.0: 0.5, 221.0: 0.0066006600660066007, 263.0: 0.055555555555555552}"
77,1025.0,232.0,2010-07-28 18:40:51.893,"[232.0, 76.0, 263.0, 354.0, 62109.0]","{232.0: 0.0061224489795918364, 354.0: 0.10344827586206896, 76.0: 0.096774193548387094, 62109.0: 0.59999999999999998, 263.0: 0.083333333333333329}"
78,1037.0,272.0,2010-07-28 20:10:20.723,"[272.0, 274.0, 232.0, 354.0, 99986.0]","{272.0: 0.23529411764705882, 232.0: 0.0081632653061224497, 274.0: 0.011331444759206799, 354.0: 0.13793103448275862, 99986.0: 0.75}"
79,1048.0,536.0,2010-07-28 20:43:45.980,"[536.0, 409.0, 72.0, 152258.0, 223227.0]","{536.0: 0.021582733812949641, 409.0: 0.022727272727272728, 152258.0: 1.0, 223227.0: 1.0, 72.0: 0.020689655172413793}"
80,1079.0,232.0,2010-07-29 00:32:21.480,"[232.0, 297.0, 274.0, 89.0, 164128.0]","{232.0: 0.0020408163265306124, 297.0: 0.041666666666666664, 274.0: 0.0028328611898016999, 164128.0: 1.0, 89.0: 0.012500000000000001}"
81,392.0,409.0,2010-07-29 02:04:40.680,"[409.0, 312.0, 1424.0, 51.0, 128.0]","{312.0: 0.0095238095238095247, 409.0: 0.015151515151515152, 1424.0: 0.0098039215686274508, 51.0: 0.076923076923076927, 128.0: 0.15384615384615385}"
82,514.0,205.0,2010-07-29 03:11:46.200,"[205.0, 9.0, 136.0, 64292.0, 100.0]","{136.0: 0.036363636363636362, 9.0: 0.017699115044247787, 64292.0: 0.10526315789473684, 205.0: 0.015384615384615385, 100.0: 0.05128205128205128}"
83,639.0,232.0,2010-07-29 03:42:46.310,"[232.0, 14018.0, 76997.0, 166887.0, 126481.0]","{232.0: 0.0040816326530612249, 126481.0: 1.0, 14018.0: 1.0, 76997.0: 1.0, 166887.0: 1.0}"
84,1099.0,211.0,2010-07-29 05:17:57.723,"[211.0, 72.0, 3567.0, 2032.0, 752.0]","{72.0: 0.013793103448275862, 2032.0: 0.11764705882352941, 211.0: 0.20000000000000001, 752.0: 0.013888888888888888, 3567.0: 0.012048192771084338}"
85,740.0,346.0,2010-07-29 12:28:46.330,"[346.0, 73.0, 60.0, 334.0, 536.0]","{536.0: 0.028776978417266189, 73.0: 0.12903225806451613, 346.0: 0.065573770491803282, 60.0: 0.21052631578947367, 334.0: 0.078431372549019607}"
86,107.0,439.0,2010-07-29 15:21:26.037,"[439.0, 822.0, 172.0, 9176.0, 317.0]","{9176.0: 0.006920415224913495, 172.0: 0.07407407407407407, 317.0: 0.055555555555555552, 822.0: 0.008658008658008658, 439.0: 0.027397260273972601}"
87,1146.0,73.0,2010-07-29 23:41:41.033,"[73.0, 111635.0, 12611.0, 12616.0, 12619.0]","{12616.0: 0.33333333333333331, 73.0: 0.16129032258064516, 12611.0: 0.33333333333333331, 111635.0: 0.33333333333333331, 12619.0: 0.33333333333333331}"
88,1196.0,45.0,2010-07-30 02:26:09.203,"[45.0, 3567.0, 298.0, 242.0, 6678.0]","{242.0: 0.0067567567567567571, 298.0: 0.40000000000000002, 45.0: 0.090909090909090912, 6678.0: 0.20000000000000001, 3567.0: 0.012048192771084338}"
89,97.0,498.0,2010-07-30 11:08:58.043,"[498.0, 72.0, 15382.0, 109446.0, 221585.0]","{72.0: 0.027586206896551724, 221585.0: 0.59999999999999998, 498.0: 0.018518518518518517, 109446.0: 0.36363636363636365, 15382.0: 0.12903225806451613}"
90,1211.0,232.0,2010-07-30 21:44:55.380,"[232.0, 16.0, 340.0, 400.0, 2628.0]","{232.0: 0.0040816326530612249, 16.0: 0.034482758620689655, 400.0: 0.023255813953488372, 2628.0: 1.0, 340.0: 1.0}"
91,1292.0,232.0,2010-07-31 07:19:26.117,"[232.0, 409.0, 163.0, 205.0, 72.0]","{232.0: 0.0040816326530612249, 409.0: 0.015151515151515152, 163.0: 0.033898305084745763, 205.0: 0.015384615384615385, 72.0: 0.013793103448275862}"
92,1311.0,331.0,2010-07-31 20:01:41.193,"[331.0, 439.0, 89.0, 277.0, 243193.0]","{89.0: 0.025000000000000001, 331.0: 0.015748031496062992, 277.0: 0.2857142857142857, 243193.0: 1.0, 439.0: 0.027397260273972601}"
93,1348.0,59.0,2010-08-01 19:53:29.330,"[59.0, 232.0, 536.0, 11537.0, 27814.0]","{232.0: 0.0020408163265306124, 536.0: 0.0071942446043165471, 59.0: 0.125, 27814.0: 1.0, 11537.0: 0.5}"
94,1368.0,30.0,2010-08-02 01:00:14.090,"[30.0, 536.0, 317.0, 12523.0, 297.0]","{536.0: 0.0071942446043165471, 297.0: 0.041666666666666664, 12523.0: 0.011904761904761904, 317.0: 0.027777777777777776, 30.0: 0.029411764705882353}"
95,1347.0,176.0,2010-08-02 11:19:44.533,"[176.0, 273.0, 409.0, 1369.0, 60929.0]","{176.0: 0.10344827586206896, 273.0: 0.10714285714285714, 60929.0: 0.66666666666666663, 1369.0: 0.028571428571428571, 409.0: 0.022727272727272728}"
96,1393.0,331.0,2010-08-02 14:48:40.757,"[331.0, 42934.0, 405.0, 505.0, 354.0]","{505.0: 0.026315789473684209, 354.0: 0.034482758620689655, 331.0: 0.007874015748031496, 405.0: 0.016666666666666666, 42934.0: 0.33333333333333331}"
97,1413.0,232.0,2010-08-02 17:43:12.907,"[232.0, 536.0, 233.0, 688.0, 467.0]","{232.0: 0.0040816326530612249, 536.0: 0.014388489208633094, 688.0: 0.011627906976744186, 467.0: 0.016129032258064516, 233.0: 0.095238095238095233}"
98,1431.0,467.0,2010-08-03 19:02:05.137,"[467.0, 43100.0, 60744.0, 169009.0, 195780.0]","{60744.0: 0.66666666666666663, 169009.0: 0.5, 195780.0: 0.5, 467.0: 0.024193548387096774, 43100.0: 0.14999999999999999}"
99,1467.0,26.0,2010-08-03 20:01:12.813,"[26.0, 299.0, 405.0, 728.0, 77446.0]","{728.0: 0.14285714285714285, 26.0: 0.10000000000000001, 299.0: 0.0080645161290322578, 405.0: 0.033333333333333333, 77446.0: 1.0}"
100,1459.0,638.0,2010-08-04 04:32:56.350,"[638.0, 226.0, 707.0, 452.0, 19365.0]","{226.0: 0.015267175572519083, 707.0: 0.25, 452.0: 0.026315789473684209, 19365.0: 0.5, 638.0: 0.11764705882352941}"
101,1401.0,274.0,2010-08-04 06:26:47.567,"[274.0, 226.0, 232.0, 152.0, 403.0]","{232.0: 0.0061224489795918364, 152.0: 0.023809523809523808, 274.0: 0.0084985835694051, 403.0: 0.21428571428571427, 226.0: 0.022900763358778626}"
102,1526.0,89.0,2010-08-04 14:46:56.800,"[89.0, 205.0, 869.0, 160.0, 121.0]","{160.0: 0.10000000000000001, 89.0: 0.037499999999999999, 121.0: 0.10714285714285714, 205.0: 0.023076923076923078, 869.0: 0.5}"
103,1537.0,723.0,2010-08-04 15:41:57.133,"[723.0, 136.0, 232.0, 660.0, 405.0]","{136.0: 0.072727272727272724, 232.0: 0.0081632653061224497, 723.0: 0.097560975609756101, 660.0: 0.038095238095238099, 405.0: 0.066666666666666666}"
104,1512.0,233.0,2010-08-04 18:14:50.697,"[233.0, 221.0, 226.0, 20973.0, 197440.0]","{197440.0: 0.66666666666666663, 233.0: 0.14285714285714285, 226.0: 0.022900763358778626, 221.0: 0.0099009900990099011, 20973.0: 0.75}"
105,29.0,775.0,2010-08-04 22:05:50.883,"[775.0, 40.0, 135.0, 668.0, 45.0]","{40.0: 1.0, 135.0: 0.80000000000000004, 668.0: 0.18181818181818182, 45.0: 0.18181818181818182, 775.0: 1.0}"
106,1626.0,205.0,2010-08-05 15:26:21.820,"[205.0, 232.0, 26.0, 242.0, 142917.0]","{232.0: 0.0040816326530612249, 242.0: 0.0067567567567567571, 26.0: 0.10000000000000001, 205.0: 0.015384615384615385, 142917.0: 1.0}"
107,1609.0,221.0,2010-08-05 15:42:56.583,"[221.0, 223.0, 176.0, 536.0, 220556.0]","{176.0: 0.10344827586206896, 536.0: 0.021582733812949641, 220556.0: 0.66666666666666663, 221.0: 0.0099009900990099011, 223.0: 0.11538461538461539}"
108,1658.0,171.0,2010-08-05 20:19:02.367,"[171.0, 72.0, 723.0, 148352.0, 222754.0]","{72.0: 0.0068965517241379309, 148352.0: 1.0, 222754.0: 1.0, 171.0: 0.016129032258064516, 723.0: 0.024390243902439025}"
