QuestionId,AcceptedAnswerUserId,AnswerCreationDate,UsersSorted,UsersJaccard
290.0,66.0,2010-11-06 08:28:26.600,"[66.0, 29.0, 26076.0, 18.0, 29011.0]","{66.0: 0.037593984962406013, 18.0: 0.11904761904761904, 26076.0: 0.01278772378516624, 29.0: 0.046728971962616821, 29011.0: 0.25}"
317.0,78.0,2010-11-07 16:07:16.277,"[78.0, 163.0, 1186.0, 1492.0, 139.0]","{1186.0: 0.027210884353741496, 163.0: 0.05128205128205128, 1492.0: 0.008368200836820083, 139.0: 0.10526315789473684, 78.0: 0.038461538461538464}"
321.0,13.0,2010-11-07 17:19:19.433,"[13.0, 66.0, 392.0, 36804.0, 77105.0]","{392.0: 0.020618556701030927, 77105.0: 0.5, 66.0: 0.03007518796992481, 36804.0: 0.5, 13.0: 0.050632911392405063}"
335.0,166.0,2010-11-08 01:09:45.120,"[166.0, 126.0, 139.0, 78.0, 30370.0]","{30370.0: 0.14285714285714285, 139.0: 0.078947368421052627, 78.0: 0.028846153846153848, 126.0: 0.034883720930232558, 166.0: 0.035714285714285712}"
341.0,163.0,2010-11-08 07:23:29.973,"[163.0, 144.0, 121.0, 47.0, 2917.0]","{144.0: 0.40000000000000002, 121.0: 0.18181818181818182, 163.0: 0.02564102564102564, 2917.0: 1.0, 47.0: 0.030303030303030304}"
353.0,68.0,2010-11-08 08:28:41.380,"[68.0, 13.0, 3887.0, 219.0, 4014.0]","{219.0: 0.44444444444444442, 68.0: 0.03669724770642202, 13.0: 0.050632911392405063, 4014.0: 1.0, 3887.0: 0.040000000000000001}"
363.0,124.0,2010-11-08 16:17:37.413,"[124.0, 59215.0, 4075.0, 306.0, 11686.0]","{306.0: 0.050000000000000003, 4075.0: 0.25, 124.0: 0.0053333333333333332, 11686.0: 1.0, 59215.0: 0.007575757575757576}"
391.0,124.0,2010-11-08 23:51:25.353,"[124.0, 4864.0, 78.0, 59.0, 12660.0]","{4864.0: 0.0062370062370062374, 12660.0: 1.0, 59.0: 0.0625, 124.0: 0.0080000000000000002, 78.0: 0.028846153846153848}"
408.0,166.0,2010-11-09 12:34:57.487,"[166.0, 124.0, 411.0, 391.0, 347.0]","{347.0: 0.0094637223974763408, 411.0: 0.75, 124.0: 0.0080000000000000002, 166.0: 0.035714285714285712, 391.0: 0.029702970297029702}"
356.0,78.0,2010-11-09 17:57:10.487,"[78.0, 139.0, 66.0, 133.0, 11270.0]","{66.0: 0.015037593984962405, 139.0: 0.052631578947368418, 133.0: 0.10526315789473684, 78.0: 0.019230769230769232, 11270.0: 0.5}"
409.0,66.0,2010-11-09 20:47:33.723,"[66.0, 775.0, 1352.0, 2314.0, 12368.0]","{1352.0: 0.018181818181818181, 12368.0: 1.0, 66.0: 0.03007518796992481, 2314.0: 0.20000000000000001, 775.0: 0.045977011494252873}"
442.0,124.0,2010-11-09 21:22:21.573,"[124.0, 74.0, 224.0, 126.0, 20892.0]","{224.0: 0.42857142857142855, 20892.0: 0.66666666666666663, 74.0: 0.01282051282051282, 124.0: 0.0080000000000000002, 126.0: 0.034883720930232558}"
389.0,42.0,2010-11-09 23:39:12.650,"[42.0, 78.0, 50.0, 4864.0, 3917.0]","{4864.0: 0.0020790020790020791, 42.0: 0.012500000000000001, 50.0: 0.25, 78.0: 0.0096153846153846159, 3917.0: 1.0}"
466.0,166.0,2010-11-10 02:23:25.783,"[166.0, 126.0, 18.0, 217.0, 7434.0]","{217.0: 0.21739130434782608, 18.0: 0.11904761904761904, 7434.0: 0.66666666666666663, 126.0: 0.058139534883720929, 166.0: 0.059523809523809521}"
463.0,126.0,2010-11-10 05:54:01.383,"[126.0, 18.0, 78.0, 217.0, 6432.0]","{6432.0: 0.0062893081761006293, 217.0: 0.043478260869565216, 18.0: 0.023809523809523808, 78.0: 0.0096153846153846159, 126.0: 0.011627906976744186}"
490.0,66.0,2010-11-10 12:39:45.707,"[66.0, 107.0, 58569.0, 43880.0, 63415.0]","{43880.0: 1.0, 58569.0: 1.0, 66.0: 0.015037593984962405, 107.0: 0.034482758620689655, 63415.0: 1.0}"
437.0,59.0,2010-11-10 20:00:36.563,"[59.0, 165.0, 1337.0, 8753.0, 184.0]","{184.0: 0.052631578947368418, 1337.0: 0.080000000000000002, 59.0: 0.083333333333333329, 165.0: 0.5714285714285714, 8753.0: 1.0}"
24.0,272.0,2010-11-10 21:13:47.193,"[272.0, 97.0, 268.0, 28.0, 38245.0]","{272.0: 0.29999999999999999, 97.0: 0.028301886792452831, 268.0: 1.0, 38245.0: 0.66666666666666663, 28.0: 0.081081081081081086}"
530.0,107.0,2010-11-10 23:38:06.200,"[107.0, 6082.0, 301.0, 28422.0, 76103.0]","{6082.0: 0.018181818181818181, 107.0: 0.017241379310344827, 301.0: 0.030303030303030304, 28422.0: 1.0, 76103.0: 1.0}"
542.0,124.0,2010-11-11 06:07:08.830,"[124.0, 373.0, 20497.0, 72595.0, 50596.0]","{20497.0: 0.66666666666666663, 72595.0: 0.5, 124.0: 0.0080000000000000002, 373.0: 0.025423728813559324, 50596.0: 0.5}"
550.0,126.0,2010-11-11 09:19:50.977,"[126.0, 383.0, 306.0, 19968.0, 82113.0]","{19968.0: 0.5, 82113.0: 0.5, 306.0: 0.10000000000000001, 126.0: 0.046511627906976744, 383.0: 0.056338028169014086}"
541.0,166.0,2010-11-11 13:00:41.933,"[166.0, 74.0, 219.0, 30360.0, 6484.0]","{30360.0: 1.0, 74.0: 0.01282051282051282, 219.0: 0.33333333333333331, 6484.0: 1.0, 166.0: 0.035714285714285712}"
567.0,11.0,2010-11-11 18:42:47.267,"[11.0, 347.0, 243.0, 43351.0, 44259.0]","{44259.0: 0.66666666666666663, 347.0: 0.0063091482649842269, 11.0: 0.046511627906976744, 43351.0: 0.0074906367041198503, 243.0: 0.083333333333333329}"
603.0,347.0,2010-11-12 00:01:38.013,"[347.0, 74.0, 75795.0, 79486.0, 2881.0]","{75795.0: 0.5, 2881.0: 0.33333333333333331, 74.0: 0.0085470085470085479, 347.0: 0.0063091482649842269, 79486.0: 0.5}"
619.0,95.0,2010-11-12 08:44:03.670,"[95.0, 139.0, 66.0, 36577.0, 5266.0]","{36577.0: 0.5, 66.0: 0.015037593984962405, 139.0: 0.052631578947368418, 5266.0: 0.5, 95.0: 0.095238095238095233}"
615.0,292.0,2010-11-12 16:36:33.907,"[292.0, 74.0, 62.0, 42.0, 107.0]","{74.0: 0.0085470085470085479, 107.0: 0.034482758620689655, 292.0: 0.25, 42.0: 0.025000000000000001, 62.0: 0.07407407407407407}"
296.0,142.0,2010-11-12 16:36:50.590,"[142.0, 82.0, 66.0, 78479.0, 78649.0]","{78649.0: 1.0, 82.0: 0.012195121951219513, 66.0: 0.0075187969924812026, 142.0: 0.013513513513513514, 78479.0: 1.0}"
661.0,74.0,2010-11-12 18:18:00.230,"[74.0, 62.0, 1631.0, 337.0, 41935.0]","{337.0: 1.0, 74.0: 0.01282051282051282, 41935.0: 0.66666666666666663, 62.0: 0.1111111111111111, 1631.0: 0.022556390977443608}"
676.0,62.0,2010-11-12 23:42:09.007,"[62.0, 19.0, 42.0, 1492.0, 7777.0]","{7777.0: 0.40000000000000002, 42.0: 0.050000000000000003, 19.0: 0.042105263157894736, 1492.0: 0.008368200836820083, 62.0: 0.14814814814814814}"
21.0,142.0,2010-11-13 01:38:40.830,"[142.0, 42.0, 47.0, 82.0, 22529.0]","{22529.0: 0.5, 42.0: 0.012500000000000001, 82.0: 0.012195121951219513, 142.0: 0.013513513513513514, 47.0: 0.015151515151515152}"
634.0,345.0,2010-11-13 02:52:35.387,"[345.0, 306.0, 142.0, 1335.0, 51945.0]","{345.0: 0.19230769230769232, 306.0: 0.125, 51945.0: 0.5, 142.0: 0.067567567567567571, 1335.0: 0.076923076923076927}"
79.0,166.0,2010-11-13 03:06:09.493,"[166.0, 369.0, 345.0, 82.0, 50.0]","{369.0: 0.030303030303030304, 82.0: 0.036585365853658534, 50.0: 0.75, 166.0: 0.035714285714285712, 345.0: 0.11538461538461539}"
704.0,142.0,2010-11-13 14:16:22.713,"[142.0, 42.0, 66.0, 50464.0, 3755.0]","{50464.0: 0.42857142857142855, 42.0: 0.0625, 3755.0: 0.40000000000000002, 66.0: 0.037593984962406013, 142.0: 0.067567567567567571}"
721.0,42.0,2010-11-13 18:01:32.763,"[42.0, 347.0, 66.0, 45445.0, 28934.0]","{42.0: 0.050000000000000003, 347.0: 0.012618296529968454, 66.0: 0.03007518796992481, 28934.0: 0.75, 45445.0: 0.75}"
270.0,176.0,2010-11-13 19:16:15.057,"[176.0, 1492.0, 100.0, 16104.0, 38104.0]","{176.0: 0.076923076923076927, 100.0: 0.074999999999999997, 38104.0: 0.5, 1492.0: 0.0062761506276150627, 16104.0: 0.5}"
679.0,19.0,2010-11-14 05:53:27.327,"[19.0, 47.0, 306.0, 29.0, 380.0]","{306.0: 0.074999999999999997, 19.0: 0.031578947368421054, 380.0: 1.0, 29.0: 0.028037383177570093, 47.0: 0.045454545454545456}"
783.0,369.0,2010-11-14 18:15:31.070,"[369.0, 3150.0, 1352.0, 30266.0, 58016.0]","{1352.0: 0.013636363636363636, 369.0: 0.030303030303030304, 30266.0: 0.75, 58016.0: 0.66666666666666663, 3150.0: 1.0}"
862.0,82.0,2010-11-15 22:09:22.153,"[82.0, 66.0, 217.0, 97.0, 437.0]","{217.0: 0.086956521739130432, 82.0: 0.024390243902439025, 66.0: 0.015037593984962405, 437.0: 1.0, 97.0: 0.018867924528301886}"
867.0,29.0,2010-11-15 23:12:45.383,"[29.0, 184.0, 13.0, 5297.0, 4744.0]","{184.0: 0.013157894736842105, 5297.0: 1.0, 4744.0: 0.5, 29.0: 0.0093457943925233638, 13.0: 0.012658227848101266}"
814.0,18.0,2010-11-16 04:04:11.900,"[18.0, 329.0, 78.0, 6728.0, 35504.0]","{6728.0: 1.0, 329.0: 0.021164021164021163, 18.0: 0.095238095238095233, 35504.0: 0.80000000000000004, 78.0: 0.038461538461538464}"
893.0,126.0,2010-11-16 09:39:12.343,"[126.0, 13.0, 1462.0, 28.0, 405.0]","{405.0: 0.33333333333333331, 28.0: 0.054054054054054057, 13.0: 0.025316455696202531, 126.0: 0.023255813953488372, 1462.0: 0.13333333333333333}"
937.0,383.0,2010-11-16 17:55:40.360,"[383.0, 61.0, 142.0, 347.0, 1241.0]","{1241.0: 0.022598870056497175, 347.0: 0.012618296529968454, 61.0: 0.056338028169014086, 142.0: 0.054054054054054057, 383.0: 0.056338028169014086}"
384.0,29.0,2010-11-16 18:37:03.237,"[29.0, 176.0, 62.0, 392.0, 8563.0]","{176.0: 0.12820512820512819, 392.0: 0.025773195876288658, 8563.0: 0.013368983957219251, 29.0: 0.046728971962616821, 62.0: 0.18518518518518517}"
970.0,347.0,2010-11-17 02:03:59.820,"[347.0, 1186.0, 76090.0, 8333.0, 27447.0]","{27447.0: 0.66666666666666663, 1186.0: 0.020408163265306121, 347.0: 0.0094637223974763408, 76090.0: 0.75, 8333.0: 0.66666666666666663}"
917.0,391.0,2010-11-17 05:34:27.887,"[391.0, 126.0, 489.0, 504.0, 24906.0]","{504.0: 0.055555555555555552, 489.0: 0.20000000000000001, 24906.0: 1.0, 126.0: 0.034883720930232558, 391.0: 0.029702970297029702}"
1018.0,68.0,2010-11-17 22:19:39.400,"[68.0, 520.0, 442.0, 20.0, 345.0]","{520.0: 0.0026041666666666665, 20.0: 0.022222222222222223, 442.0: 0.040000000000000001, 68.0: 0.0091743119266055051, 345.0: 0.038461538461538464}"
1030.0,504.0,2010-11-17 23:16:07.330,"[504.0, 2973.0, 13.0, 2643.0, 55327.0]","{504.0: 0.07407407407407407, 55327.0: 0.75, 2643.0: 0.18181818181818182, 2973.0: 0.21052631578947367, 13.0: 0.050632911392405063}"
630.0,539.0,2010-11-18 14:31:46.883,"[539.0, 62.0, 28.0, 166.0, 4256.0]","{4256.0: 0.66666666666666663, 539.0: 1.0, 28.0: 0.054054054054054057, 166.0: 0.023809523809523808, 62.0: 0.07407407407407407}"
1061.0,126.0,2010-11-18 14:53:04.923,"[126.0, 472.0, 46365.0, 504.0, 6472.0]","{472.0: 0.21428571428571427, 504.0: 0.055555555555555552, 46365.0: 0.375, 126.0: 0.034883720930232558, 6472.0: 0.59999999999999998}"
1075.0,42.0,2010-11-18 18:30:53.330,"[42.0, 74.0, 520.0, 6974.0, 50753.0]","{520.0: 0.0078125, 50753.0: 0.66666666666666663, 42.0: 0.037499999999999999, 74.0: 0.01282051282051282, 6974.0: 0.0085470085470085479}"
139.0,520.0,2010-11-18 21:45:53.330,"[520.0, 82.0, 150.0, 373.0, 1352.0]","{520.0: 0.010416666666666666, 1352.0: 0.018181818181818181, 82.0: 0.04878048780487805, 373.0: 0.033898305084745763, 150.0: 0.23529411764705882}"
1111.0,542.0,2010-11-19 19:49:40.950,"[542.0, 95084.0, 4292.0, 46847.0, 15797.0]","{4292.0: 0.5, 95084.0: 0, 15797.0: 0.42857142857142855, 542.0: 1.0, 46847.0: 0.5}"
1126.0,74.0,2010-11-19 23:55:39.630,"[74.0, 392.0, 701.0, 379.0, 8747.0]","{392.0: 0.010309278350515464, 8747.0: 0.66666666666666663, 74.0: 0.0085470085470085479, 379.0: 0.086956521739130432, 701.0: 0.01834862385321101}"
1128.0,166.0,2010-11-20 00:18:20.663,"[166.0, 74.0, 126.0, 100.0, 392.0]","{392.0: 0.015463917525773196, 74.0: 0.01282051282051282, 100.0: 0.074999999999999997, 126.0: 0.034883720930232558, 166.0: 0.035714285714285712}"
1135.0,166.0,2010-11-20 01:27:43.583,"[166.0, 392.0, 369.0, 4864.0, 100.0]","{392.0: 0.010309278350515464, 369.0: 0.020202020202020204, 4864.0: 0.0041580041580041582, 100.0: 0.050000000000000003, 166.0: 0.023809523809523808}"
1143.0,383.0,2010-11-21 09:52:38.663,"[383.0, 124.0, 66.0, 166.0, 20.0]","{20.0: 0.066666666666666666, 66.0: 0.022556390977443608, 124.0: 0.0080000000000000002, 166.0: 0.035714285714285712, 383.0: 0.042253521126760563}"
1193.0,74.0,2010-11-22 03:18:48.340,"[74.0, 405.0, 520.0, 6323.0, 154.0]","{520.0: 0.010416666666666666, 74.0: 0.017094017094017096, 6323.0: 1.0, 405.0: 0.66666666666666663, 154.0: 0.2857142857142857}"
1201.0,562.0,2010-11-22 14:44:10.403,"[562.0, 166.0, 55833.0, 41092.0, 58277.0]","{55833.0: 0.59999999999999998, 562.0: 0.028368794326241134, 41092.0: 0.5, 58277.0: 0.5, 166.0: 0.047619047619047616}"
1216.0,217.0,2010-11-22 21:49:24.463,"[217.0, 1039.0, 42.0, 36861.0, 31267.0]","{217.0: 0.21739130434782608, 42.0: 0.0625, 31267.0: 0.40000000000000002, 36861.0: 0.42857142857142855, 1039.0: 0.059523809523809521}"
1220.0,69.0,2010-11-23 01:42:21.537,"[69.0, 74.0, 392.0, 60395.0, 81140.0]","{392.0: 0.015463917525773196, 74.0: 0.01282051282051282, 60395.0: 0.75, 81140.0: 0.75, 69.0: 0.33333333333333331}"
1205.0,42.0,2010-11-23 03:08:03.180,"[42.0, 520.0, 68.0, 392.0, 23680.0]","{520.0: 0.0078125, 392.0: 0.015463917525773196, 42.0: 0.037499999999999999, 23680.0: 0.66666666666666663, 68.0: 0.027522935779816515}"
1222.0,383.0,2010-11-25 00:21:34.703,"[383.0, 347.0, 1352.0, 1341.0, 10197.0]","{1352.0: 0.018181818181818181, 10197.0: 0.75, 347.0: 0.012618296529968454, 1341.0: 0.021739130434782608, 383.0: 0.056338028169014086}"
1289.0,66.0,2010-11-25 08:04:57.510,"[66.0, 35944.0, 6394.0, 567.0, 56101.0]","{35944.0: 0.14285714285714285, 66.0: 0.015037593984962405, 56101.0: 0.66666666666666663, 6394.0: 1.0, 567.0: 0.33333333333333331}"
1294.0,474.0,2010-11-25 09:53:45.527,"[474.0, 166.0, 636.0, 627.0, 373.0]","{474.0: 0.125, 627.0: 1.0, 636.0: 0.33333333333333331, 373.0: 0.016949152542372881, 166.0: 0.023809523809523808}"
1302.0,383.0,2010-11-25 19:43:11.207,"[383.0, 3735.0, 329.0, 662.0, 9751.0]","{9751.0: 0.66666666666666663, 329.0: 0.010582010582010581, 3735.0: 0.066666666666666666, 662.0: 0.11764705882352941, 383.0: 0.028169014084507043}"
1324.0,20.0,2010-11-26 22:43:16.277,"[20.0, 184.0, 6312.0, 32461.0, 10742.0]","{184.0: 0.026315789473684209, 6312.0: 0.5, 20.0: 0.044444444444444446, 32461.0: 0.5, 10742.0: 0.5}"
1336.0,329.0,2010-11-27 11:07:08.023,"[329.0, 391.0, 10453.0, 66.0, 68.0]","{329.0: 0.026455026455026454, 66.0: 0.037593984962406013, 68.0: 0.045871559633027525, 10453.0: 1.0, 391.0: 0.049504950495049507}"
1354.0,184.0,2010-11-27 20:27:08.873,"[184.0, 266.0, 66.0, 838.0, 329.0]","{184.0: 0.026315789473684209, 329.0: 0.010582010582010581, 266.0: 0.086956521739130432, 66.0: 0.015037593984962405, 838.0: 0.040816326530612242}"
1361.0,29.0,2010-11-27 22:05:21.397,"[29.0, 1337.0, 520.0, 58377.0, 38248.0]","{520.0: 0.013020833333333334, 1337.0: 0.10000000000000001, 38248.0: 1.0, 29.0: 0.046728971962616821, 58377.0: 1.0}"
1383.0,166.0,2010-11-28 15:32:21.653,"[166.0, 369.0, 373.0, 792.0, 44551.0]","{792.0: 0.42857142857142855, 369.0: 0.050505050505050504, 373.0: 0.042372881355932202, 166.0: 0.059523809523809521, 44551.0: 0.33333333333333331}"
1353.0,78.0,2010-11-28 15:55:47.637,"[78.0, 166.0, 369.0, 6790.0, 37000.0]","{37000.0: 0.75, 369.0: 0.040404040404040407, 6790.0: 1.0, 166.0: 0.047619047619047616, 78.0: 0.038461538461538464}"
1372.0,124.0,2010-11-28 22:51:42.523,"[124.0, 4864.0, 358.0, 144.0, 66.0]","{4864.0: 0.0062370062370062374, 144.0: 0.59999999999999998, 66.0: 0.022556390977443608, 124.0: 0.0080000000000000002, 358.0: 0.044776119402985072}"
1402.0,124.0,2010-11-28 23:12:21.017,"[124.0, 504.0, 4864.0, 163.0, 391.0]","{504.0: 0.055555555555555552, 4864.0: 0.0062370062370062374, 163.0: 0.038461538461538464, 124.0: 0.0080000000000000002, 391.0: 0.029702970297029702}"
1405.0,504.0,2010-11-29 00:35:52.747,"[504.0, 166.0, 391.0, 661.0, 42688.0]","{504.0: 0.018518518518518517, 42688.0: 1.0, 661.0: 0.006024096385542169, 166.0: 0.011904761904761904, 391.0: 0.0099009900990099011}"
1410.0,661.0,2010-11-29 01:35:51.127,"[661.0, 373.0, 671.0, 636.0, 670.0]","{671.0: 0.015151515151515152, 636.0: 0.16666666666666666, 661.0: 0.006024096385542169, 670.0: 0.017857142857142856, 373.0: 0.0084745762711864406}"
1462.0,347.0,2010-11-30 18:36:35.620,"[347.0, 358.0, 13.0, 41477.0, 43722.0]","{43722.0: 1.0, 347.0: 0.0031545741324921135, 13.0: 0.012658227848101266, 358.0: 0.014925373134328358, 41477.0: 1.0}"
1479.0,124.0,2010-11-30 21:37:32.050,"[124.0, 369.0, 9624.0, 695.0, 329.0]","{9624.0: 0.14999999999999999, 369.0: 0.030303030303030304, 124.0: 0.0080000000000000002, 329.0: 0.015873015873015872, 695.0: 1.0}"
1493.0,74.0,2010-11-30 23:30:56.057,"[74.0, 100.0, 377.0, 70977.0, 65986.0]","{377.0: 0.023255813953488372, 74.0: 0.0085470085470085479, 100.0: 0.050000000000000003, 65986.0: 1.0, 70977.0: 1.0}"
1263.0,176.0,2010-12-01 04:44:57.167,"[176.0, 562.0, 420.0, 107.0, 8257.0]","{176.0: 0.02564102564102564, 8257.0: 1.0, 562.0: 0.0070921985815602835, 107.0: 0.017241379310344827, 420.0: 1.0}"
